Aspect ratio ,Clearance ratio ,ø (angle in theta),Drag Coeff. (Out put),
1,0.33,0,1.347,
2,0.33,0,1.4,
3,0.33,0,1.427,
1,0.5,0,1.361,
2,0.5,0,1.361,
3,0.5,0,1.382,
1,0.67,0,1.294,
2,0.67,0,1.3,
3,0.67,0,1.346,
1,0.33,15,1.411,
2,0.33,15,1.401,
3,0.33,15,1.485,
1,0.5,15,1.342,
2,0.5,15,1.429,
3,0.5,15,1.44,
1,0.67,15,1.296,
2,0.67,15,1.327,
3,0.67,15,1.389,
1,0.33,30,1.413,
2,0.33,30,1.396,
3,0.33,30,1.467,
1,0.5,30,1.3,
2,0.5,30,1.381,
3,0.5,30,1.45,
1,0.67,30,1.307,
2,0.67,30,1.334,
3,0.67,30,1.412,
1,0.33,45,1.326,
2,0.33,45,1.346,
3,0.33,45,1.405,
1,0.5,45,1.228,
2,0.5,45,1.431,
3,0.5,45,1.483,
1,0.67,45,1.237,
2,0.67,45,1.387,
3,0.67,45,1.432,
1,0.33,60,0.955,
2,0.33,60,1.017,
3,0.33,60,0.973,
1,0.5,60,1.081,
2,0.5,60,1.047,
3,0.5,60,1.033,
1,0.67,60,1.14,
2,0.67,60,1.122,
3,0.67,60,1.106,
1,0.33,75,0.388,
2,0.33,75,0.475,
3,0.33,75,0.4,
1,0.5,75,0.548,
2,0.5,75,0.458,
3,0.5,75,0.418,
1,0.67,75,0.579,
2,0.67,75,0.467,
3,0.67,75,0.434,
0.1,0.9,0,1.55,
0.2,1,0,1.42,
0.2,0.95,0,1.43,
0.2,0.9,0,1.44,
0.2,0.8,0,1.46,
0.25,1,0,1.41,
0.25,0.95,0,1.43,
0.25,0.9,0,1.45,
0.25,0.8,0,1.49,
0.5,1,0,1.17,
0.5,0.95,0,1.33,
0.5,0.9,0,1.41,
0.5,0.8,0,1.44,
0.5,0.67,0,1.46,
0.5,0.5,0,1.47,
1,1,0,1.15,
1,0.95,0,1.27,
1,0.9,0,1.34,
1,0.8,0,1.43,
1,0.67,0,1.42,
1,0.5,0,1.38,
1,0.3,0,1.42,
2,1,0,1.14,
2,0.95,0,1.24,
2,0.9,0,1.33,
2,0.8,0,1.39,
2,0.67,0,1.38,
2,0.5,0,1.42,
2,0.3,0,1.45,
2,0.16,0,1.48,
4,1,0,1.08,
4,0.95,0,1.14,
4,0.9,0,1.2,
4,0.8,0,1.32,
4,0.67,0,1.35,
4,0.5,0,1.45,
4,0.3,0,1.53,
4,0.16,0,1.51,
5,1,0,1.04,
5,0.9,0,1.15,
5,0.67,0,1.32,
5,0.5,0,1.44,
5,0.3,0,1.57,
10,0.3,0,1.55,
10,0.16,0,1.63,
0.2,1,0,1.15,
0.3,1,0,1.13,
0.5,1,0,1.1,
1,1,0,1.11,
4,1,0,1,
7.5,1,0,0.94,
0.2,0.9,0,1.27,
0.5,0.9,0,1.23,
1,0.9,0,1.13,
7.5,0.9,0,0.98,
0.2,0.8,0,1.33,
0.3,0.8,0,1.2,
0.5,0.8,0,1.21,
1,0.8,0,1.28,
2,0.8,0,1.21,
5,0.8,0,1.06,
0.5,0.7,0,1.21,
1,0.7,0,1.28,
4,0.7,0,1.15,
5,0.7,0,1.15,
0.5,0.5,0,1.21,
1,0.5,0,1.25,
7.5,0.5,0,1.34,
2,0.25,0,1.39,
5,0.25,0,1.41,
7.5,0.25,0,1.36,
2,1,15,1.07,
5,1,15,1,
0.3,0.9,15,1.17,
2,0.9,15,1.14,
4,0.9,15,0.99,
5,0.9,15,1,
4,0.8,15,1.1,
7.5,0.8,15,1.06,
2,0.7,15,1.21,
7.5,0.7,15,1.09,
2,0.5,15,1.23,
4,0.5,15,1.21,
5,0.5,15,1.3,
4,0.25,15,1.33,
